Race Date,Race Name,Race Distance,City,State,Surface,Latitude,Longitude,Results,Notes
11/27/08,Manchester Road Race,5 Mile,Manchester ,Connecticut,Road,41.76921173,-72.52074066,,"72nd Annual. 
No results. I believe I did not correctly use shoe timing chip. Verfied based on possible years I was in running shape (summer of 2008 and on), in CT on Thanksgiving (2008 or 2009), and the finish results of John, Nicole, and JT Lauer, who I remember running with us. Thanksgivings - 2010: VT, 2011: NC, 2012: Portland, ME, 2013 - Current: NC."
7/11/09,Portsmouth Harbor Trail Race,5K,Portsmouth,New Hampshire,Road,43.07127447,-70.75512881,https://www.athlinks.com/event/41257/results/Event/114080/Course/156547/Results?page=1,14th Annual 
11/7/09,EBAC Fall Challenge,4.75 Mile,New London,Connecticut,Road,41.30994574,-72.09974208,http://www.ebac.us/running/RaceArchive/ebacarch09to10.htm,
7/10/10,Portsmouth Harbor Trail Race,5K,Portsmouth,New Hampshire,Road,43.07127447,-70.75512881,https://www.athlinks.com/event/41257/results/Event/160513/Course/220675/Results?page=1,15th Annual 
10/9/10,Hopebuilders 5K,5K,Charlotte,North Carolina,Road,35.22535706,-80.84076961,https://resultscui.active.com/participants/25733143,15th Annual 
10/30/10,NoDaWEEN Freaky 5K,5K,Charlotte,North Carolina,Road,35.24769764,-80.80456756,https://www.athlinks.com/event/58063/results/Event/142740/Course/194682/Results?page=1,
11/25/10,Green Mountain Athletic Assosiation Turkey Trot,5K,Burlington,Vermont,Cross Country,44.47597792,-73.21110791,,No results. Based on Google/FB Pictures.
5/14/11,5K Run for Clean Air,5K,Charlotte,North Carolina,Cross Country,35.15068223,-80.74129068,https://www.athlinks.com/event/26097/results/Event/161513/Course/222064/Results?page=1,
7/9/11,Portsmouth Harbor Trail Race,5K,Portsmouth,New Hampshire,Road,43.07127447,-70.75512881,https://www.athlinks.com/event/41257/results/Event/162119/Course/222791/Results?page=1,16th Annual 
8/28/11,Warrior Dash Carolinas,5K,Huntersville,North Carolina,Trail,35.38597743,-80.94735115,https://www.athlinks.com/event/34937/results/Event/177353/Course/244927/Bib/15764,
11/24/11,Charlotte SouthPark Turkey Trot,8K,Charlotte,North Carolina,Road,35.15593957,-80.83310894,https://resultscui.active.com/participants/26063304,23rd Annual
5/5/12,Clemson Downs Forget Me Not 5k,5K,Clemson,South Carolina,Road,34.67609329,-82.79470508,https://www.athlinks.com/event/134890/results/Event/421749/Course/634297/Entry/211865534,
5/19/12,"Westminster Foothills 5K ""And the Beat Goes On""",5K,Westminster,South Carolina,Road,34.66455159,-83.09668327,https://terrytimes.com/results/WEFH5K12AWA.txt,
5/26/12,2nd Annual Seneca Fest 5K,5K,Seneca,South Carolina,Road,34.68556309,-82.95332866,https://resultscui.active.com/participants/30173510,
9/22/12,Isabella Santos 5K Race for Kids Cancer,5K,Charlotte,North Carolina,Road,35.05968263,-80.85368135,,
10/27/12,NoDaWEEN Freaky 5K,5K,Charlotte,North Carolina,Road,35.24769764,-80.80456756,,
4/6/13,American Two Mile Road Race,2 Mile,Cornelius,North Carolina,Road,35.47458307,80.89864156,,
6/7/13,Noda 5K,5K,Charlotte,North Carolina,Road,35.2404201,-80.814573,,
6/15/13,Brew Dash 6K,6K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
9/1/13,Labor Day Trail Race 15K,15K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
9/6/13,Blue Ridge Relay,Team Relay - Road,-,North Carolina,Road,36.6238143,-81.50008822,,
9/21/13,Isabella Santos 5K Race for Kids Cancer,5K,Charlotte,North Carolina,Road,35.05968263,-80.85368135,,
10/26/13,NoDAWEEN Freaky 5K,5K,Charlotte,North Carolina,Road,35.24769764,-80.80456756,,
11/28/13,Charlotte SouthPark Turkey Trot,8K,Charlotte,North Carolina,Road,35.15593957,-80.83310894,,25th Annual 
1/18/14,Charlotte Running Company Trail Race,9 Mile,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
1/25/14,Asheville Hot Chocolate 10K,10K,Charlotte,North Carolina,Road,35.59833952,-82.56111378,,
2/1/14,UNC Charlotte 49er Gold Rush 5K,5K,Charlotte,North Carolina,Road,35.30544687,-80.73711769,https://resultscui.active.com/participants/33206218,
3/29/14,Sticks and Bones Trail Race,5K,Matthews,North Carolina,Trail,35.06500252,-80.74018835,,
4/5/14,Know Your Craft 5K,5K,Charlotte,North Carolina,Road,35.20111963,-80.86898484,,
4/12/14,Charlotte Runfest Halfmarathon/10K,10K,Charlotte,North Carolina,Road,35.38597743,-80.94735115,,
4/24/14,Tuckfest - Twilight 5K,5K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
4/25/14,Tuckfest - Quarter Marathon,Quarter Marathon,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
4/26/14,Tuckfest - Sunday Morning 5K,5K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
6/6/14,Noda 5K,5K,Charlotte,North Carolina,Road,35.2404201,-80.814573,,
6/14/14,Brew Dash 6K,6K,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
7/12/14,XTERRA NC USNWC Trail Run,4 Mile,Charlotte,North Carolina,Trail,35.27273203,-81.00634218,,
8/30/14,XTERRA Fisher Farm 10 Mile / 5 Mile Trail Race,5 Mile,Charlotte,North Carolina,Trail,35.49007164,-80.79943726,,
9/20/14,Isabella Santos 5K Race for Kids Cancer,5K,Charlotte,North Carolina,Road,35.05968263,-80.85368135,,
10/10/14,Tuna Run 200 Relay,Team Relay - Road,-,North Carolina,Road,35.67242725,-78.62706949,https://static1.squarespace.com/static/5a8dd0958fd4d264a2e6bcbf/t/5c5d914ae5e5f0151eada439/1549635915100/2014+TR200+Results.pdf,
10/18/14,Run With Theoden 5K,5K,Charlotte,North Carolina,Road,35.22727665,-80.84307462,https://www.athlinks.com/event/153076/results/Event/484133/Course/720109/Bib/9,
11/27/14,Charlotte SouthPark Turkey Trot,8K,Charlotte,North Carolina,Road,35.15593957,-80.83310894,https://www.athlinks.com/event/5989/results/Event/407074/Course/534882/Bib/470,26th Annual 
