State,State Name,Town,Month Name,Week Number,Name,Type,Distances Available,Target Distance,Status,Target Year,Lottery,Drive Time (hrs),Notes,Latitude,Longitude,Link
AL,Alabama,Guntersville,February,,Eagle Ridge,Trail,Half Marathon,,,,,,,34.395278,-86.205028,https://ultrasignup.com/register.aspx?did=107151
AL,Alabama,Woodville,November,1,Cathedral Caverns Trail Run,Trail,15K,,,,,7,Run through caverns,34.57313,-86.220598,https://ultrasignup.com/register.aspx?did=100949
AL,Alabama,Huntsville,October,3,Wade Mountain Marathon,Trail,10K | Half Marathon | Marathon,,,,,7,,34.807522,-86.58982,https://ultrasignup.com/register.aspx?did=111058
AL,Alabama,Pelham,March,4,Oak Mountain 50K,Trail,25K | 50K,,,,,,,33.30606527,-86.7970081,https://ultrasignup.com/register.aspx?did=126624
AZ,Arizona,Flagstaff,October,,Flagstaff Sky Peaks,Trail,10K | 26K | 50K | 50 mile,,,,,,,35.249509,-111.686966,https://www.aravaiparunning.com/skypeaks/
AR,Arkansas,Morrilton,April,1,Hoof it For Heifer,Trail,20K,,,,,,,35.127656,-92.924508,https://ultrasignup.com/register.aspx?did=115427
AR,Arkansas,Hot Springs,February,1,Hot Springs Half Marathon,Road,Half Marathon,,completed,,,,,34.537861,-93.06025,https://runsignup.com/Race/AR/HotSprings/HotSpringsHalfMarathon?aflt_token=vkmwDmweQ4iCYn8otSOOnKQ3vCO8buOw
AR,Arkansas,Greenbriar,January,2,Woolly Hollow Trail Half Marathon,Trail,Half Marathon,,,,,,,35.288297,-92.286951,https://www.woollyhollowtrailhalf.com/
CA,California,Mill Valley,June,,Dipsea,Trail,7.4 mile,,,,,,,37.906026,-122.547879,https://www.dipsea.org/
CA,California,Lake Tahoe,September,1,Emerald Bay Trail Run,Trail,7 mile,,,,,,,38.98140823,-120.0945643,https://tahoetrailrunning.com/emerald-bay-trail-run/
CT,Connecticut,Ashford,October,1,Nipmuck Trail Marathon,Trail,Marathon,,,,,,,41.879522,-72.195884,https://ultrasignup.com/register.aspx?did=122310
DE,Delaware,Wilmington,May,3,First State Trail Race,Trail,10K | 25K | 50K,,,,,8,,39.829009,-75.571515,https://runningintheusa.com/details/165892
DE,Delaware,Bear,October,1,Bear Trail Half Marathon,Trail,10K | Half Marathon,,,,,8,,39.563349,-75.721279,https://runningintheusa.com/details/95611
DE,Delaware,Frankford,October,3,Mariners Bethel Trail Run,Trail,5K | 10K,,,,,8,,38.50321543,-75.09463895,https://runningintheusa.com/details/18355
DE,Delaware,Bear,October,3,Delaware Trail Fest,Trail,12K | 24K,,,,,,,39.61813124,-75.67264346,https://www.uberendurancesports.com/Delawaretrailfest.html
FL,Florida,Middleburg,December,1,Festivus Trail Run,Trail,14 mile | 35 mile | 50 mile | 100 mile,,,,,,,30.12268309,-81.88260827,https://ultrasignup.com/register.aspx?did=124784
FL,Florida,Fernandina Beach,January,4,Florida Roots Trail Series: Fort Clinch,Trail,10K | 30K | 50K,,,,,,,30.72098642,-81.45056153,https://ultrasignup.com/register.aspx?did=125205
FL,Florida,Fort McCoy,March,2,Two Prairies Ultra,Trail,30K | 50K,,,,,,,29.25855882,-81.68193388,https://ultrasignup.com/register.aspx?did=113210
FL,Florida,Middleburg,May,2,Madre's Fiesta,Trail,7K | 14K | Half Marathon,,,,,,,30.12243125,-81.88236383,https://ultrasignup.com/register.aspx?did=121685
FL,Florida,White Springs,November,2,Wild Florida Trail Run,Trail,10K | 25K | 50K,,,,,,Run Bum,30.50179296,-82.67317571,https://ultrasignup.com/register.aspx?did=121644
FL,Florida,Alachua,October,4,Gate2Gate,Trail,25K | 50K,,,,,,,29.7751246,-82.47391473,https://ultrasignup.com/register.aspx?did=120771
IN,Indiana,Poland,March,3,OPSF 50|50,Trail,10K | 14 mile | 50K | 50 mile,,,,,10,,39.344932,-86.852145,https://ultrasignup.com/register.aspx?did=115078
